Column,Cluster,Number,Categories,Description,Items,Locked,Framed,Column1
A,1,1,Stone & Building Blocks,Cobblestone,,,,
A,1,2,Stone & Building Blocks,Stone,,,,
A,1,3,Stone & Building Blocks,Smooth Stone,,,,
A,1,4,Stone & Building Blocks,Gravel,,,,
A,1,5,Stone & Building Blocks,Cobbled Deepslate & Deepslate,Cobbled Deepslate|Deepslate,,,
A,1,6,Stone & Building Blocks,Dirt,,,,
A,1,7,Stone & Building Blocks,Stairs,,,,
A,1,8,Stone & Building Blocks,Slabs,,,,
A,1,9,Stone & Building Blocks,Netherrack,,,,
B,1,1,Food & Farming / Tools,Cooked Meats,,,,
B,1,2,Food & Farming / Tools,Raw Meats & Fish,,,,
B,1,3,Food & Farming / Tools,Bread & Baked Goods,,,,
B,1,4,Food & Farming / Tools,Apples,,,,
B,1,5,Food & Farming / Tools,Honey & Honeycomb,Honey Bottle|Honeycomb,,,
B,1,6,Food & Farming / Tools,Saplings & Seeds,,,,
B,1,7,Food & Farming / Tools,Flowers,,,,
B,1,8,Food & Farming / Tools,Sugar Cane & Wheat,Sugar Cane|Wheat,,,
B,1,9,Food & Farming / Tools,Tools (All),Pickaxe|Shovel|Axe|Hoe|Sword|Bow|Shears|Fishing Rod,,,
C,1,1,Resources & Materials,Coal,,,,
C,1,2,Resources & Materials,Lapis & Redstone,Lapis Lazuli|Redstone,,,
C,1,3,Resources & Materials,Emerald & Diamond,Emerald|Diamond,,,
C,1,4,Resources & Materials,Gold & Iron Ingots & Raw Ores,Gold Ingot|Iron Ingot|Raw Gold|Raw Iron|Raw Copper|Copper Ingot,,,
C,1,5,Resources & Materials,Bones & Rotten Flesh,Bone|Rotten Flesh,,,
C,1,6,Resources & Materials,String & Feathers,String|Feather,,,
C,1,7,Resources & Materials,Planks,,,,
C,1,8,Resources & Materials,Fences & Ladders & Signs,Fence|Ladder|Sign,,,
C,1,9,Resources & Materials,Wool & Terracotta,Wool|Terracotta,,,
