ChestID,ItemName,TotalCount,DirectCount,ShulkerCount
A1-1,minecraft:chest,122,122,0
A1-2,minecraft:copper_chest,66,66,0
A1-2,minecraft:exposed_copper_chest,15,15,0
A1-2,minecraft:oxidized_copper_chest,122,122,0
A1-2,minecraft:waxed_copper_chest,47,47,0
A1-2,minecraft:weathered_copper_chest,26,26,0
A1-3,minecraft:ender_chest,3,3,0
A1-4,minecraft:barrel,4,4,0
A2-1,minecraft:dirt,1,1,0
A2-2,minecraft:diamond_chestplate,4,4,0
A2-3,minecraft:elytra,3,3,0
A2-4,minecraft:diamond_helmet,4,4,0
A2-4,minecraft:turtle_helmet,1,1,0
A2-5,minecraft:copper_nautilus_armor,7,7,0
A2-5,minecraft:diamond_horse_armor,5,5,0
A2-5,minecraft:diamond_nautilus_armor,1,1,0
A2-5,minecraft:golden_horse_armor,1,1,0
A2-5,minecraft:golden_nautilus_armor,3,3,0
A2-5,minecraft:iron_nautilus_armor,7,7,0
A2-6,minecraft:dirt,1,1,0
A2-7,minecraft:saddle,7,7,0
A2-8,minecraft:shield,1,1,0
A2-9,minecraft:dirt,1,1,0
B1-1,minecraft:clay,2,2,0
B1-1,minecraft:clay_ball,34,34,0
B1-2,minecraft:grass_block,1676,1676,0
B1-3,minecraft:dirt,1,1,0
B1-4,minecraft:dirt,1142,1142,0
B1-5,minecraft:dirt,16805,1274,15531
B1-6,minecraft:mud,3,3,0
B1-6,minecraft:packed_mud,19,19,0
B1-7,minecraft:podzol,338,338,0
B1-8,minecraft:dirt_with_roots,8,8,0
B1-9,minecraft:grass_path,5,5,0
B2-1,minecraft:arrow,1241,1241,0
B2-2,minecraft:diamond_axe,1,1,0
B2-3,minecraft:bow,42,42,0
B2-4,minecraft:crossbow,12,12,0
B2-5,minecraft:diamond_spear,2,2,0
B2-5,minecraft:golden_spear,2,2,0
B2-5,minecraft:iron_spear,1,1,0
B2-6,minecraft:diamond_sword,3,3,0
B2-7,minecraft:trident,14,14,0
B2-8,minecraft:fire_charge,1,1,0
B2-9,minecraft:dirt,1,1,0
C1-1,minecraft:jungle_boat,1,1,0
C1-1,minecraft:oak_boat,1,1,0
C1-1,minecraft:oak_chest_boat,1,1,0
C1-2,minecraft:compass,68,68,0
C1-3,minecraft:lodestone,1,1,0
C1-4,minecraft:empty_map,71,71,0
C1-4,minecraft:filled_map,14,14,0
C1-5,minecraft:hopper_minecart,2,2,0
C1-5,minecraft:minecart,6,6,0
C1-6,minecraft:activator_rail,1,1,0
C1-6,minecraft:detector_rail,1,1,0
C1-6,minecraft:golden_rail,382,382,0
C1-6,minecraft:rail,534,534,0
C1-7,minecraft:firework_rocket,2922,1630,1292
C1-8,minecraft:clock,9,9,0
C1-9,minecraft:dirt,1,1,0
C2-1,minecraft:carrot_on_a_stick,1,1,0
C2-1,minecraft:fishing_rod,1,1,0
C2-2,minecraft:iron_hoe,1,1,0
C2-3,minecraft:diamond_pickaxe,9,9,0
C2-3,minecraft:netherite_pickaxe,1,1,0
C2-4,minecraft:shears,23,23,0
C2-5,minecraft:diamond_shovel,7,7,0
C2-5,minecraft:iron_shovel,2,2,0
C2-6,minecraft:dirt,1,1,0
C2-7,minecraft:dirt,1,1,0
C2-8,minecraft:dirt,1,1,0
C2-9,minecraft:dirt,1,1,0
D1-1,minecraft:book,427,427,0
D1-1,minecraft:bookshelf,104,104,0
D1-1,minecraft:chiseled_bookshelf,51,51,0
D1-1,minecraft:writable_book,3,3,0
D1-2,minecraft:enchanted_book,11,11,0
D1-3,minecraft:glass_bottle,77,77,0
D1-4,minecraft:paper,853,853,0
D1-5,minecraft:dragon_breath,69,69,0
D1-5,minecraft:experience_bottle,17,17,0
D1-5,minecraft:potion,79,27,52
D1-5,minecraft:splash_potion,4,4,0
D1-6,minecraft:dirt,1,1,0
D1-7,minecraft:dirt,1,1,0
D1-8,minecraft:dirt,1,1,0
D1-9,minecraft:dirt,1,1,0
D2-1,minecraft:dirt,1,1,0
D2-2,minecraft:dirt,1,1,0
D2-3,minecraft:dirt,1,1,0
D2-4,minecraft:dirt,1,1,0
D2-5,minecraft:dirt,1,1,0
D2-6,minecraft:dirt,1,1,0
D2-7,minecraft:dirt,1,1,0
D2-8,minecraft:dirt,1,1,0
D2-9,minecraft:dirt,1,1,0
E1-1,minecraft:candle,51,51,0
E1-1,minecraft:red_candle,7,7,0
E1-2,minecraft:end_rod,56,56,0
E1-3,minecraft:pearlescent_froglight,1325,1325,0
E1-4,minecraft:lantern,81,81,0
E1-4,minecraft:oxidized_copper_lantern,1,1,0
E1-4,minecraft:soul_lantern,2,2,0
E1-5,minecraft:redstone_lamp,20,20,0
E1-6,minecraft:dirt,1,1,0
E1-7,minecraft:sea_lantern,16,16,0
E1-8,minecraft:copper_torch,4,4,0
E1-8,minecraft:soul_torch,13,13,0
E1-8,minecraft:torch,304,304,0
E1-9,minecraft:dirt,1,1,0
E2-1,minecraft:brick,572,572,0
E2-1,minecraft:brick_block,20,20,0
E2-2,minecraft:black_carpet,7,7,0
E2-2,minecraft:cyan_carpet,2,2,0
E2-2,minecraft:green_carpet,108,108,0
E2-2,minecraft:light_blue_carpet,37,37,0
E2-2,minecraft:lime_carpet,92,92,0
E2-2,minecraft:magenta_carpet,2,2,0
E2-2,minecraft:moss_carpet,370,370,0
E2-2,minecraft:orange_carpet,31,31,0
E2-2,minecraft:purple_carpet,199,199,0
E2-2,minecraft:red_carpet,12,12,0
E2-2,minecraft:white_carpet,93,93,0
E2-2,minecraft:yellow_carpet,41,41,0
E2-3,minecraft:black_concrete,174,174,0
E2-3,minecraft:light_gray_concrete,55,55,0
E2-3,minecraft:purple_concrete,149,149,0
E2-3,minecraft:red_concrete,100,100,0
E2-3,minecraft:white_concrete,286,286,0
E2-4,minecraft:black_concrete_powder,167,167,0
E2-4,minecraft:purple_concrete_powder,333,333,0
E2-4,minecraft:red_concrete_powder,128,128,0
E2-4,minecraft:white_concrete_powder,1213,1213,0
E2-5,minecraft:waxed_chiseled_copper,116,116,0
E2-5,minecraft:waxed_oxidized_cut_copper,25,25,0
E2-6,minecraft:oxidized_cut_copper,21,21,0
E2-6,minecraft:waxed_copper_bulb,242,242,0
E2-6,minecraft:waxed_copper_grate,150,150,0
E2-6,minecraft:waxed_oxidized_copper_grate,4,4,0
E2-6,minecraft:waxed_weathered_copper_bulb,24,24,0
E2-7,minecraft:black_dye,111,111,0
E2-7,minecraft:blue_dye,259,259,0
E2-7,minecraft:brown_dye,4,4,0
E2-7,minecraft:cyan_dye,172,172,0
E2-7,minecraft:gray_dye,1,1,0
E2-7,minecraft:green_dye,412,412,0
E2-7,minecraft:light_blue_dye,86,86,0
E2-7,minecraft:light_gray_dye,82,82,0
E2-7,minecraft:lime_dye,45,45,0
E2-7,minecraft:magenta_dye,109,109,0
E2-7,minecraft:orange_dye,68,68,0
E2-7,minecraft:pink_dye,104,104,0
E2-7,minecraft:purple_dye,284,284,0
E2-7,minecraft:red_dye,255,255,0
E2-7,minecraft:white_dye,141,141,0
E2-7,minecraft:yellow_dye,85,85,0
E2-8,minecraft:glass,279,279,0
E2-8,owlscubed_pob:simple_blocks_logic-opacity-v3_h0,1,1,0
E2-9,minecraft:black_stained_glass_pane,75,75,0
E2-9,minecraft:brown_stained_glass_pane,13,13,0
E2-9,minecraft:glass_pane,110,110,0
E2-9,minecraft:light_blue_stained_glass_pane,42,42,0
E2-9,minecraft:purple_stained_glass_pane,236,236,0
E2-9,minecraft:white_stained_glass_pane,58,58,0
F1-1,minecraft:flow_banner_pattern,4,4,0
F1-1,minecraft:piglin_banner_pattern,1,1,0
F1-1,minecraft:skull_banner_pattern,1,1,0
F1-2,minecraft:angler_pottery_sherd,1,1,0
F1-2,minecraft:burn_pottery_sherd,1,1,0
F1-2,minecraft:danger_pottery_sherd,5,5,0
F1-2,minecraft:decorated_pot,6,6,0
F1-2,minecraft:flow_pottery_sherd,1,1,0
F1-2,minecraft:guster_pottery_sherd,3,3,0
F1-2,minecraft:heart_pottery_sherd,3,3,0
F1-2,minecraft:heartbreak_pottery_sherd,4,4,0
F1-2,minecraft:howl_pottery_sherd,1,1,0
F1-2,minecraft:scrape_pottery_sherd,4,4,0
F1-2,minecraft:sheaf_pottery_sherd,1,1,0
F1-2,minecraft:shelter_pottery_sherd,1,1,0
F1-3,minecraft:sniffer_egg,6,6,0
F1-4,minecraft:flower_pot,17,17,0
F1-5,minecraft:painting,4,4,0
F1-6,minecraft:dirt,1,1,0
F1-7,minecraft:dirt,1,1,0
F1-8,minecraft:dirt,1,1,0
F1-9,minecraft:dirt,1,1,0
F2-1,minecraft:nether_brick,207,207,0
F2-2,minecraft:chiseled_quartz_block,1,1,0
