Column,Cluster,Number,Categories,Description,Items,Locked,Framed,Column1
A,1,1,Storage & Item Transport,Chests,,,,
A,1,2,Storage & Item Transport,Copper Chest,,,,
A,1,3,Storage & Item Transport,Ender Chest,,,,
A,1,4,Storage & Item Transport,Barrel,,,,
A,1,5,Storage & Item Transport,Shulker Box,,,,
A,1,6,Storage & Item Transport,Shulker Box,,,,
A,1,7,Storage & Item Transport,Shulker Box,,,,
A,1,8,Storage & Item Transport,Shulker Box,,,,
A,1,9,Storage & Item Transport,Shulker Box,,,,
A,2,1,Armor & Equipment,Boots,,,,
A,2,2,Armor & Equipment,Chestplates,,,,
A,2,3,Armor & Equipment,Elytra,,,,
A,2,4,Armor & Equipment,Helmets,,,,
A,2,5,Armor & Equipment,Horse Armor,,,,
A,2,6,Armor & Equipment,Leggings,,,,
A,2,7,Armor & Equipment,Saddles,,,,
A,2,8,Armor & Equipment,Shields,,,,
A,2,9,Armor & Equipment,,,,,
B,1,1,Base Terrain - Dirt Family,Clay,,,,
B,1,2,Base Terrain - Dirt Family,Grass Block,,,,
B,1,3,Base Terrain - Dirt Family,,,,,
B,1,4,Base Terrain - Dirt Family,Dirt,,,,
B,1,5,Base Terrain - Dirt Family,Dirt,,,,
B,1,6,Base Terrain - Dirt Family,Mud,Mud|Packed Mud,,,
B,1,7,Base Terrain - Dirt Family,Podzol,,,,
B,1,8,Base Terrain - Dirt Family,Rooted Dirt,Rooted Dirt|Coarse Dirt,,,
B,1,9,Base Terrain - Dirt Family,Dirt Path,,,,
B,2,1,Weapons & Combat Gear,Arrows,,,,
B,2,2,Weapons & Combat Gear,Axes,,,,
B,2,3,Weapons & Combat Gear,Bows,,,,
B,2,4,Weapons & Combat Gear,Crossbows,,,,
B,2,5,Weapons & Combat Gear,Spears,,,,
B,2,6,Weapons & Combat Gear,Swords,,,,
B,2,7,Weapons & Combat Gear,Tridents,,,,
B,2,8,Weapons & Combat Gear,Fire Charges,,,,
B,2,9,Weapons & Combat Gear,,,,,
C,1,1,Navigation & Transport,Boats (All),,,,
C,1,2,Navigation & Transport,Compass,,,,
C,1,3,Navigation & Transport,Lodestone,,,,
C,1,4,Navigation & Transport,Maps (All),,,,
C,1,5,Navigation & Transport,Minecarts (All),,,,
C,1,6,Navigation & Transport,Rails (All),,,,
C,1,7,Navigation & Transport,Rockets,,,,
C,1,8,Navigation & Transport,Clock,,,,
C,1,9,Navigation & Transport,,,,,
C,2,1,Tools,Fishing Rods,Fishing Rod|Carrot on a Stick,,,
C,2,2,Tools,Hoes,,,,
C,2,3,Tools,Pickaxes,,,,
C,2,4,Tools,Shears,,,,
C,2,5,Tools,Shovels,,,,
C,2,6,Tools,,,,,
C,2,7,Tools,,,,,
C,2,8,Tools,,,,,
C,2,9,Tools,,,,,
D,1,1,Enchanting & Magic,Books & Bookshelves,,,,
D,1,2,Enchanting & Magic,Enchanted Books,,,,
D,1,3,Enchanting & Magic,Glass Bottles & Experience Bottles,Glass Bottle,,,
D,1,4,Enchanting & Magic,Paper,,,,
D,1,5,Enchanting & Magic,Potions,Experience Bottle|Bottle o' Enchanting|Dragon Breath|Potion|Splash Potion,,,
D,1,6,Enchanting & Magic,,,,,
D,1,7,Enchanting & Magic,,,,,
D,1,8,Enchanting & Magic,,,,,
D,1,9,Enchanting & Magic,,,,,
D,2,1,UNUSED,,,,,
D,2,2,UNUSED,,,,,
D,2,3,UNUSED,,,,,
D,2,4,UNUSED,,,,,
D,2,5,UNUSED,,,,,
D,2,6,UNUSED,,,,,
D,2,7,UNUSED,,,,,
D,2,8,UNUSED,,,,,
D,2,9,UNUSED,,,,,
E,1,1,Lighting & Illumination,Candles (All),,,,
