#,ChestID,Column,Cluster,Number,Categories,Description,Locked,Framed
1,A1-1,A,1,1,Base Terrain - Dirt Family,Clay,Yes,Yes
2,A1-2,A,1,2,Base Terrain - Dirt Family,Coarse Dirt,EMPTY,
3,A1-3,A,1,3,Base Terrain - Dirt Family,Dirt,Yes,Yes
4,A1-4,A,1,4,Base Terrain - Dirt Family,Dirt (Overflow),Yes,Yes
5,A1-5,A,1,5,Base Terrain - Dirt Family,Grass Block,Yes,Yes
6,A1-6,A,1,6,Base Terrain - Dirt Family,Mud & Packed Mud,EMPTY,
7,A1-7,A,1,7,Base Terrain - Dirt Family,Podzol,Yes,Yes
8,A1-8,A,1,8,Base Terrain - Dirt Family,Rooted Dirt,EMPTY,
9,A1-9,A,1,9,Base Terrain - Dirt Family,,EMPTY,
10,A2-1,A,2,1,Armor & Equipment,Boots,Yes,Yes
11,A2-2,A,2,2,Armor & Equipment,Chestplates,Yes,Yes
12,A2-3,A,2,3,Armor & Equipment,Elytra,EMPTY,
13,A2-4,A,2,4,Armor & Equipment,Helmets,Yes,Yes
14,A2-5,A,2,5,Armor & Equipment,Horse Armor,Yes,Yes
15,A2-6,A,2,6,Armor & Equipment,Leggings,EMPTY,
16,A2-7,A,2,7,Armor & Equipment,Saddles,EMPTY,
17,A2-8,A,2,8,Armor & Equipment,Shields,Yes,Yes
18,A2-9,A,2,9,Armor & Equipment,,EMPTY,
19,B1-1,B,1,1,UNUSED,,EMPTY,
20,B1-2,B,1,2,UNUSED,,EMPTY,
21,B1-3,B,1,3,UNUSED,,EMPTY,
22,B1-4,B,1,4,UNUSED,,EMPTY,
23,B1-5,B,1,5,UNUSED,,EMPTY,
24,B1-6,B,1,6,UNUSED,,EMPTY,
25,B1-7,B,1,7,UNUSED,,EMPTY,
26,B1-8,B,1,8,UNUSED,,EMPTY,
27,B1-9,B,1,9,UNUSED,,EMPTY,
28,B2-1,B,2,1,Weapons & Combat Gear,Arrows,Yes,Yes
29,B2-2,B,2,2,Weapons & Combat Gear,Axes,Yes,Yes
30,B2-3,B,2,3,Weapons & Combat Gear,Bows,Yes,Yes
31,B2-4,B,2,4,Weapons & Combat Gear,Crossbows,Yes,Yes
32,B2-5,B,2,5,Weapons & Combat Gear,Spears,EMPTY,
33,B2-6,B,2,6,Weapons & Combat Gear,Swords,Yes,Yes
34,B2-7,B,2,7,Weapons & Combat Gear,Tridents,Yes,Yes
35,B2-8,B,2,8,Weapons & Combat Gear,,EMPTY,
